Curso;Reprovações.1;Matrículas.1;Porcentagem.1;Reprovações.2;Matrículas.2;Porcentagem.2
ADMINISTRAÇÃO;167;2684;6.2;207;2810;7.4
AGRONOMIA;162;1078;15;154;1141;13.5
ARQUITETURA E URBANISMO;0;0;NaN;19;269;7.1
ARTE E MÍDIA;7;470;1.5;3;554;0.5
CIÊNCIA DA COMPUTAÇÃO;354;2078;17;378;2293;16.5
CIÊNCIAS;154;1101;14;156;1171;13.3
CIÊNCIAS BIOLÓGICAS;179;2001;8.9;209;2070;10.1
CIÊNCIAS CONTÁBEIS;122;1380;8.8;84;1372;6.1
CIÊNCIAS ECONÔMICAS;104;1047;9.9;72;1109;6.5
CIÊNCIAS SOCIAIS;55;1242;4.4;60;1255;4.8
COMUNICAÇÃO SOCIAL;0;0;NaN;6;345;1.7
DESENHO INDUSTRIAL;28;187;15;17;135;12.6
DESIGN;58;877;6.6;76;997;7.6
DIREITO;12;3988;0.3;20;3821;0.5
ENFERMAGEM;182;4091;4.4;195;4943;3.9
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;88;518;17;113;491;23
ENGENHARIA AGRÍCOLA;130;679;19.1;90;593;15.2
ENGENHARIA AMBIENTAL;195;960;20.3;186;973;19.1
ENGENHARIA CIVIL;257;2106;12.2;231;2170;10.6
ENGENHARIA DE ALIMENTOS;396;1270;31.2;300;1253;23.9
ENGENHARIA DE BIOSSISTEMAS;95;430;22.1;75;458;16.4
ENGENHARIA DE MATERIAIS;249;1188;21;226;1060;21.3
ENGENHARIA DE MINAS;108;641;16.8;85;607;14
ENGENHARIA DE PETRÓLEO;88;470;18.7;77;427;18
ENGENHARIA DE PRODUÇÃO;202;1470;13.7;175;1332;13.1
ENGENHARIA ELÉTRICA;576;3971;14.5;577;4160;13.9
ENGENHARIA FLORESTAL;104;1016;10.2;83;912;9.1
ENGENHARIA MECÂNICA;277;1546;17.9;212;1616;13.1
ENGENHARIA QUÍMICA;134;1088;12.3;107;948;11.3
ESTATÍSTICA;30;79;38;28;72;38.9
FARMÁCIA;101;1493;6.8;126;1923;6.6
FILOSOFIA;49;198;24.7;24;160;15
FÍSICA;233;659;35.4;100;529;18.9
GEOGRAFIA;167;1522;11;79;1589;5
HISTÓRIA;237;2488;9.5;203;2471;8.2
INTERDISCIPLINAR EM EDUC. DO CAMPO;1;474;0.2;0;518;0
LETRAS;146;2823;5.2;154;2678;5.8
LICENCIATURA INTERCULTURAL INDÍGENA;4;275;1.5;0;260;0
MATEMÁTICA;276;1146;24.1;144;974;14.8
MEDICINA;2;4469;0;8;4568;0.2
MEDICINA VETERINÁRIA;142;2019;7;140;2228;6.3
METEOROLOGIA;71;246;28.9;44;202;21.8
MÚSICA;12;147;8.2;17;290;5.9
NUTRIÇÃO;47;609;7.7;53;908;5.8
ODONTOLOGIA;53;896;5.9;102;1293;7.9
PEDAGOGIA;125;2305;5.4;108;2490;4.3
PSICOLOGIA;7;189;3.7;1;373;0.3
QUÍMICA;125;794;15.7;96;622;15.4
SERVIÇO SOCIAL;4;316;1.3;1;312;0.3
TECNOLOGIA EM AGROECOLOGIA;2;324;0.6;36;322;11.2
TECNOLOGIA EM GESTÃO PÚBLICA;1;238;0.4;6;275;2.2
