Curso;Reprovações.1;Matrículas.1;Porcentagem.1;Reprovações.2;Matrículas.2;Porcentagem.2;Ano
ADMINISTRAÇÃO;172;2328;7.4;148;2271;6.5;2016
AGRONOMIA;143;1219;11.7;142;1221;11.6;2016
ARQUITETURA E URBANISMO;23;839;2.7;49;897;5.5;2016
ARTE E MÍDIA;30;526;5.7;33;576;5.7;2016
CIÊNCIA DA COMPUTAÇÃO;375;2851;13.2;558;2962;18.8;2016
CIÊNCIAS BIOLÓGICAS;221;3025;7.3;180;2705;6.7;2016
CIÊNCIAS CONTÁBEIS;20;659;3;54;891;6.1;2016
CIÊNCIAS ECONÔMICAS;115;764;15.1;76;673;11.3;2016
CIÊNCIAS SOCIAIS;59;979;6;47;879;5.3;2016
COMUNICAÇÃO SOCIAL;30;718;4.2;31;833;3.7;2016
DESIGN;62;855;7.3;83;813;10.2;2016
DIREITO;63;5323;1.2;75;5133;1.5;2016
ENFERMAGEM;90;3805;2.4;123;3552;3.5;2016
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;97;711;13.6;71;590;12;2016
ENGENHARIA AGRÍCOLA;83;589;14.1;62;442;14;2016
ENGENHARIA AMBIENTAL;205;1278;16;138;1218;11.3;2016
ENGENHARIA CIVIL;290;3937;7.4;339;4108;8.3;2016
ENGENHARIA DE ALIMENTOS;277;1669;16.6;191;1452;13.2;2016
ENGENHARIA DE BIOSSISTEMAS;84;641;13.1;58;532;10.9;2016
ENGENHARIA DE MATERIAIS;167;915;18.3;144;744;19.4;2016
ENGENHARIA DE MINAS;129;838;15.4;131;806;16.3;2016
ENGENHARIA DE PETRÓLEO;121;899;13.5;99;705;14;2016
ENGENHARIA DE PRODUÇÃO;196;2068;9.5;147;1681;8.7;2016
ENGENHARIA ELÉTRICA;818;5105;16;867;4943;17.5;2016
ENGENHARIA FLORESTAL;47;746;6.3;45;588;7.7;2016
ENGENHARIA MECÂNICA;226;1643;13.8;289;1666;17.3;2016
ENGENHARIA QUÍMICA;164;1332;12.3;102;1189;8.6;2016
ESTATÍSTICA;45;168;26.8;31;119;26.1;2016
FARMÁCIA;99;1914;5.2;155;2054;7.5;2016
FILOSOFIA;62;237;26.2;23;194;11.9;2016
FÍSICA;168;944;17.8;128;802;16;2016
GEOGRAFIA;149;1991;7.5;97;1762;5.5;2016
HISTÓRIA;194;2067;9.4;199;2038;9.8;2016
INTERDISCIPLINAR EM EDUC. DO CAMPO;14;427;3.3;9;322;2.8;2016
LETRAS;116;2288;5.1;106;2191;4.8;2016
MATEMÁTICA;312;1473;21.2;201;1217;16.5;2016
MEDICINA;15;3064;0.5;27;2790;1;2016
MEDICINA VETERINÁRIA;129;2287;5.6;156;2342;6.7;2016
METEOROLOGIA;57;190;30;39;160;24.4;2016
MÚSICA;19;461;4.1;33;520;6.3;2016
NUTRIÇÃO;145;1587;9.1;112;1686;6.6;2016
ODONTOLOGIA;59;1961;3;68;1890;3.6;2016
PEDAGOGIA;49;2231;2.2;70;2346;3;2016
PSICOLOGIA;27;1409;1.9;24;1322;1.8;2016
QUÍMICA;159;1213;13.1;161;1026;15.7;2016
SERVIÇO SOCIAL;31;793;3.9;20;609;3.3;2016
TECNOLOGIA EM AGROECOLOGIA;21;454;4.6;22;353;6.2;2016
TECNOLOGIA EM GESTÃO PÚBLICA;59;530;11.1;41;433;9.5;2016
