Curso;Matrículas;Reprovações;Percentual;Ano
ADMINISTRAÇÃO;4870;371;7.6;2015
AGRONOMIA;2623;342;13;2015
ARQUITETURA E URBANISMO;1646;95;5.8;2015
ARTE E MÍDIA;1135;52;4.6;2015
CIÊNCIA DA COMPUTAÇÃO;5317;888;16.7;2015
CIÊNCIAS;77;1;1.3;2015
CIÊNCIAS BIOLÓGICAS;6098;397;6.5;2015
CIÊNCIAS CONTÁBEIS;1466;70;4.8;2015
CIÊNCIAS ECONÔMICAS;1579;185;11.7;2015
CIÊNCIAS SOCIAIS;2086;146;7;2015
COMUNICAÇÃO SOCIAL;1618;45;2.8;2015
DESIGN;1815;157;8.7;2015
DIREITO;8633;61;0.7;2015
ENFERMAGEM;7962;273;3.4;2015
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;1368;185;13.5;2015
ENGENHARIA AGRÍCOLA;1107;172;15.5;2015
ENGENHARIA AMBIENTAL;2625;358;13.6;2015
ENGENHARIA CIVIL;6888;588;8.5;2015
ENGENHARIA DE ALIMENTOS;3427;558;16.3;2015
ENGENHARIA DE BIOSSISTEMAS;1142;131;11.5;2015
ENGENHARIA DE MATERIAIS;1737;313;18;2015
ENGENHARIA DE MINAS;1759;233;13.2;2015
ENGENHARIA DE PETRÓLEO;1764;209;11.8;2015
ENGENHARIA DE PRODUÇÃO;3917;354;9;2015
ENGENHARIA ELÉTRICA;9891;1444;14.6;2015
ENGENHARIA FLORESTAL;1418;78;5.5;2015
ENGENHARIA MECÂNICA;3450;482;14;2015
ENGENHARIA QUÍMICA;2238;216;9.7;2015
ESTATÍSTICA;303;99;32.7;2015
FARMÁCIA;3786;284;7.5;2015
FILOSOFIA;430;98;22.8;2015
FÍSICA;1464;295;20.2;2015
GEOGRAFIA;3989;267;6.7;2015
HISTÓRIA;4156;313;7.5;2015
INTERDISCIPLINAR EM EDUC. DO CAMPO;927;64;6.9;2015
LETRAS;4711;238;5.1;2015
MATEMÁTICA;2734;471;17.2;2015
MEDICINA;5606;51;0.9;2015
MEDICINA VETERINÁRIA;4430;263;5.9;2015
METEOROLOGIA;359;141;39.3;2015
MÚSICA;923;27;2.9;2015
NUTRIÇÃO;3188;204;6.4;2015
ODONTOLOGIA;3840;117;3;2015
PEDAGOGIA;4632;98;2.1;2015
PSICOLOGIA;2847;62;2.2;2015
QUÍMICA;2170;291;13.4;2015
SERVIÇO SOCIAL;1458;95;6.5;2015
TECNOLOGIA EM AGROECOLOGIA;1154;77;6.7;2015
TECNOLOGIA EM GESTÃO PÚBLICA;911;70;7.7;2015
