Curso;Matrículas;Reprovações;Percentual;Ano
ADMINISTRAÇÃO;6170;431;7;2012
AGRONOMIA;2738;392;14.3;2012
ARQUITETURA E URBANISMO;1124;78;6.9;2012
ARTE E MÍDIA;1080;28;2.6;2012
CIÊNCIA DA COMPUTAÇÃO;4828;1018;21.1;2012
CIÊNCIAS;1285;86;6.7;2012
CIÊNCIAS BIOLÓGICAS;6153;533;8.7;2012
CIÊNCIAS CONTÁBEIS;2016;145;7.2;2012
CIÊNCIAS ECONÔMICAS;2108;251;11.9;2012
CIÊNCIAS SOCIAIS;2885;264;9.2;2012
COMUNICAÇÃO SOCIAL;1449;54;3.7;2012
DESIGN;2125;173;8.1;2012
DIREITO;7982;51;0.6;2012
ENFERMAGEM;11040;406;3.7;2012
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS;1338;164;12.3;2012
ENGENHARIA AGRÍCOLA;1516;220;14.5;2012
ENGENHARIA AMBIENTAL;2565;431;16.8;2012
ENGENHARIA CIVIL;5040;515;10.2;2012
ENGENHARIA DE ALIMENTOS;3215;546;17;2012
ENGENHARIA DE BIOSSISTEMAS;1138;229;20.1;2012
ENGENHARIA DE MATERIAIS;2234;439;19.7;2012
ENGENHARIA DE MINAS;1601;262;16.4;2012
ENGENHARIA DE PETRÓLEO;1771;233;13.2;2012
ENGENHARIA DE PRODUÇÃO;3054;379;12.4;2012
ENGENHARIA ELÉTRICA;9241;1400;15.1;2012
ENGENHARIA FLORESTAL;1875;137;7.3;2012
ENGENHARIA MECÂNICA;3570;609;17.1;2012
ENGENHARIA QUÍMICA;2220;195;8.8;2012
ESTATÍSTICA;274;71;25.9;2012
FARMÁCIA;4555;258;5.7;2012
FILOSOFIA;517;124;24;2012
FÍSICA;1299;343;26.4;2012
GEOGRAFIA;4392;206;4.7;2012
HISTÓRIA;4959;362;7.3;2012
INTERDISCIPLINAR EM EDUC. DO CAMPO;1534;99;6.5;2012
LETRAS;5127;284;5.5;2012
LICENCIATURA INTERCULTURAL INDÍGENA;197;2;1;2012
MATEMÁTICA;2535;471;18.6;2012
MEDICINA;8082;62;0.8;2012
MEDICINA VETERINÁRIA;4859;264;5.4;2012
METEOROLOGIA;346;116;33.5;2012
MÚSICA;1023;29;2.8;2012
NUTRIÇÃO;3615;155;4.3;2012
ODONTOLOGIA;3061;165;5.4;2012
PEDAGOGIA;5457;217;4;2012
PSICOLOGIA;1874;41;2.2;2012
QUÍMICA;1999;293;14.7;2012
SERVIÇO SOCIAL;1361;22;1.6;2012
TECNOLOGIA EM AGROECOLOGIA;1279;72;5.6;2012
TECNOLOGIA EM GESTÃO PÚBLICA;1079;116;10.8;2012
